"filename", "language", "JSON", "JavaScript", "JSON with Comments", "HTML", "TypeScript", "CSS", "TypeScript React", "comment", "blank", "total"
"d:\stuffs\react-social-network\client\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\stuffs\react-social-network\client\src\react-window.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\stuffs\react-social-network\client\src\redux\slices\userSlice.ts", "TypeScript", 0, 0, 0, 0, 40, 0, 0, 2, 13, 55
"d:\stuffs\react-social-network\client\src\redux\store.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 1, 2, 12
"d:\stuffs\react-social-network\client\src\screens\ChatScreen.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 8, 0, 2, 10
"d:\stuffs\react-social-network\client\src\screens\HomeScreen.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 15, 0, 3, 18
"d:\stuffs\react-social-network\client\src\screens\LoginScreen.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 137, 3, 10, 150
"d:\stuffs\react-social-network\client\src\screens\ProfileScreen.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 80, 0, 6, 86
"d:\stuffs\react-social-network\client\src\screens\ProtectedRoute.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 12, 0, 3, 15
"d:\stuffs\react-social-network\client\src\screens\RegisterScreen.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 127, 2, 9, 138
"d:\stuffs\react-social-network\client\src\screens\SearchScreen.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 53, 3, 3, 59
"d:\stuffs\react-social-network\client\src\screens\UserScreen.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 134, 0, 9, 143
"d:\stuffs\react-social-network\client\src\serviceWorker.ts", "TypeScript", 0, 0, 0, 0, 101, 0, 0, 31, 13, 145
"d:\stuffs\react-social-network\client\src\serviceWorkerRegistration.js", "JavaScript", 0, 98, 0, 0, 0, 0, 0, 31, 13, 142
"d:\stuffs\react-social-network\client\src\shared\Avatar.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 23, 0, 2, 25
"d:\stuffs\react-social-network\client\src\shared\Button.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 67, 0, 3, 70
"d:\stuffs\react-social-network\client\src\shared\Image.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 18, 0, 4, 22
"d:\stuffs\react-social-network\client\src\shared\Loader.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 13, 0, 3, 16
"d:\stuffs\react-social-network\client\src\shared\Modal.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 44, 0, 5, 49
"d:\stuffs\react-social-network\client\src\shared\SaveIcon.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 16, 0, 4, 20
"d:\stuffs\react-social-network\client\src\shared\SmallSpinner.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 13, 0, 3, 16
"d:\stuffs\react-social-network\client\src\shared\SuspenseWrapper.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 13, 0, 4, 17
"d:\stuffs\react-social-network\client\src\styles\base.css", "CSS", 0, 0, 0, 0, 0, 46, 0, 0, 12, 58
"d:\stuffs\react-social-network\client\src\styles\tailwind.css", "CSS", 0, 0, 0, 0, 0, 15, 0, 7, 13, 35
"d:\stuffs\react-social-network\client\src\types\CommentInterfaces.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 3, 19
"d:\stuffs\react-social-network\client\src\types\PostInterfaces.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 3, 21
"d:\stuffs\react-social-network\client\src\types\UserInterfaces.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 0, 0, 3, 25
"d:\stuffs\react-social-network\client\tailwind.config.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 14, 1, 48
"d:\stuffs\react-social-network\client\tsconfig.json", "JSON with Comments", 0, 0, 28, 0, 0, 0, 0, 0, 2, 30
"d:\stuffs\react-social-network\client\tsconfig.paths.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 11, 0, 16
"Total", "-", 26765, 165, 28, 20, 207, 61, 2089, 242, 313, 29890
